ordernumber,orderdate,requireddate,shippeddate,status,comments,customernumber
10383,2/22/05 0:00,3/2/05 0:00,2/25/05 0:00,Shipped,NULL,141
10384,2/23/05 0:00,3/6/05 0:00,2/27/05 0:00,Shipped,NULL,321
10385,2/28/05 0:00,3/9/05 0:00,3/1/05 0:00,Shipped,NULL,124
10386,3/1/05 0:00,3/9/05 0:00,3/6/05 0:00,Resolved,Disputed then Resolved on 3/15/2005. Customer doesn't like the craftsmaship of the models.,141
10387,3/2/05 0:00,3/9/05 0:00,3/6/05 0:00,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,148
10388,3/3/05 0:00,3/11/05 0:00,3/9/05 0:00,Shipped,NULL,462
10389,3/3/05 0:00,3/9/05 0:00,3/8/05 0:00,Shipped,NULL,448
10390,3/4/05 0:00,3/11/05 0:00,3/7/05 0:00,Shipped,They want to reevaluate their terms agreement with Finance.,124
10391,3/9/05 0:00,3/20/05 0:00,3/15/05 0:00,Shipped,NULL,276
10392,3/10/05 0:00,3/18/05 0:00,3/12/05 0:00,Shipped,NULL,452
10393,3/11/05 0:00,3/22/05 0:00,3/14/05 0:00,Shipped,They want to reevaluate their terms agreement with Finance.,323
10394,3/15/05 0:00,3/25/05 0:00,3/19/05 0:00,Shipped,NULL,141
10395,3/17/05 0:00,3/24/05 0:00,3/23/05 0:00,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,250
10396,3/23/05 0:00,4/2/05 0:00,3/28/05 0:00,Shipped,NULL,124
10397,3/28/05 0:00,4/9/05 0:00,4/1/05 0:00,Shipped,NULL,242
10398,3/30/05 0:00,4/9/05 0:00,3/31/05 0:00,Shipped,NULL,353
10399,4/1/05 0:00,4/12/05 0:00,4/3/05 0:00,Shipped,NULL,496
10400,4/1/05 0:00,4/11/05 0:00,4/4/05 0:00,Shipped,Customer requested that DHL is used for this shipping,450
10401,4/3/05 0:00,4/14/05 0:00,,On Hold,Customer credit limit exceeded. Will ship when a payment is received.,328
10402,4/7/05 0:00,4/14/05 0:00,4/12/05 0:00,Shipped,NULL,406
10403,4/8/05 0:00,4/18/05 0:00,4/11/05 0:00,Shipped,NULL,201
10404,4/8/05 0:00,4/14/05 0:00,4/11/05 0:00,Shipped,NULL,323
10405,4/14/05 0:00,4/24/05 0:00,4/20/05 0:00,Shipped,NULL,209
10406,4/15/05 0:00,4/25/05 0:00,4/21/05 0:00,Disputed,Customer claims container with shipment was damaged during shipping and some items were missing. I am talking to FedEx about this.,145
10407,4/22/05 0:00,5/4/05 0:00,,On Hold,Customer credit limit exceeded. Will ship when a payment is received.,450
10408,4/22/05 0:00,4/29/05 0:00,4/27/05 0:00,Shipped,NULL,398
10409,4/23/05 0:00,5/5/05 0:00,4/24/05 0:00,Shipped,NULL,166
10410,4/29/05 0:00,5/10/05 0:00,4/30/05 0:00,Shipped,NULL,357
10411,5/1/05 0:00,5/8/05 0:00,5/6/05 0:00,Shipped,NULL,233
10412,5/3/05 0:00,5/13/05 0:00,5/5/05 0:00,Shipped,NULL,141
10413,5/5/05 0:00,5/14/05 0:00,5/9/05 0:00,Shipped,Customer requested that DHL is used for this shipping,175
10414,5/6/05 0:00,5/13/05 0:00,,On Hold,Customer credit limit exceeded. Will ship when a payment is received.,362
10415,5/9/05 0:00,5/20/05 0:00,5/12/05 0:00,Disputed,Customer claims the scales of the models don't match what was discussed. I keep all the paperwork though to prove otherwise,471
10416,5/10/05 0:00,5/16/05 0:00,5/14/05 0:00,Shipped,NULL,386
10417,5/13/05 0:00,5/19/05 0:00,5/19/05 0:00,Disputed,Customer doesn't like the colors and precision of the models.,141
10418,5/16/05 0:00,5/24/05 0:00,5/20/05 0:00,Shipped,NULL,412
10419,5/17/05 0:00,5/28/05 0:00,5/19/05 0:00,Shipped,NULL,382
10420,5/29/05 0:00,6/7/05 0:00,,In Process,NULL,282
10421,5/29/05 0:00,6/6/05 0:00,,In Process,Custom shipping instructions were sent to warehouse,124
10422,5/30/05 0:00,6/11/05 0:00,,In Process,NULL,157
10423,5/30/05 0:00,6/5/05 0:00,,In Process,NULL,314
10424,5/31/05 0:00,6/8/05 0:00,,In Process,NULL,141
10425,5/31/05 0:00,6/7/05 0:00,,In Process,NULL,119
